scope,topology,predictor_type,predictor,outcome,spearman_rho,n,abs_spearman_rho
within_topology,fully_connected,alignment,weighted_mean_topology_distance,depth_overhead,,60,
within_topology,fully_connected,alignment,weighted_mean_topology_distance,twoq_overhead,,60,
within_topology,fully_connected,alignment,max_topology_distance,pre_transpile_depth,,60,
within_topology,fully_connected,alignment,max_topology_distance,pre_transpile_2q_count,,60,
within_topology,fully_connected,alignment,max_topology_distance,transpiled_depth,,60,
within_topology,fully_connected,alignment,max_topology_distance,transpiled_2q_count,,60,
within_topology,fully_connected,alignment,max_topology_distance,swap_count,,60,
within_topology,fully_connected,alignment,max_topology_distance,depth_overhead,,60,
within_topology,fully_connected,alignment,max_topology_distance,twoq_overhead,,60,
within_topology,grid_2d,graph,n_edges,pre_transpile_depth,0.9370952321977969,60,0.9370952321977969
within_topology,grid_2d,graph,n_edges,pre_transpile_2q_count,1.0,60,1.0
within_topology,grid_2d,graph,n_edges,transpiled_depth,0.9460891780075921,60,0.9460891780075921
within_topology,grid_2d,graph,n_edges,transpiled_2q_count,0.9991375150911559,60,0.9991375150911559
within_topology,grid_2d,graph,n_edges,swap_count,0.9627054053601151,60,0.9627054053601151
within_topology,grid_2d,graph,n_edges,depth_overhead,0.4674772312443668,60,0.4674772312443668
within_topology,grid_2d,graph,n_edges,twoq_overhead,0.9387853516317657,60,0.9387853516317657
within_topology,grid_2d,graph,density,pre_transpile_depth,0.757885480491866,60,0.757885480491866
within_topology,grid_2d,graph,density,pre_transpile_2q_count,0.5836580317979837,60,0.5836580317979837
within_topology,grid_2d,graph,density,transpiled_depth,0.7354153413784478,60,0.7354153413784478
within_topology,grid_2d,graph,density,transpiled_2q_count,0.5909457550066273,60,0.5909457550066273
within_topology,grid_2d,graph,density,swap_count,0.6567278355722129,60,0.6567278355722129
within_topology,grid_2d,graph,density,depth_overhead,-0.06917526551600306,60,0.06917526551600306
within_topology,grid_2d,graph,density,twoq_overhead,0.614632011871521,60,0.614632011871521
