model_name,outcome,term,coef,std_error_hc3,t_value,p_value,ci_lower,ci_upper
M3_transpiled_depth_graph_alignment,log_transpiled_depth,z_n_edges,-0.18530254539951935,0.1152386668126794,-1.6079893192510537,0.10783751802476589,-0.4111661819787822,0.040561091179743464
M3_transpiled_depth_graph_alignment,log_transpiled_depth,z_density,0.04499169697750355,0.03970658583440159,1.1331041446158023,0.25717052107253213,-0.03283178120697186,0.12281517516197896
M3_transpiled_depth_graph_alignment,log_transpiled_depth,z_max_degree,1.2053440584325168,0.11905538800163247,10.124229391583599,4.3136315290360736e-24,0.9719997857838751,1.4386883310811585
M3_transpiled_depth_graph_alignment,log_transpiled_depth,z_weighted_degree_mean,-0.43453556672740085,0.11759919981084127,-3.6950554716898827,0.000219838786320243,-0.6650257629673793,-0.2040453704874224
M3_transpiled_depth_graph_alignment,log_transpiled_depth,z_coefficient_entropy,0.3573376241507543,0.04101655702978815,8.712033628059979,2.984711034470146e-18,0.27694664960253634,0.4377285986989723
M3_transpiled_depth_graph_alignment,log_transpiled_depth,z_topology_alignment_ratio,-0.22662246191726987,0.03963037953845176,-5.718402512329896,1.0753018023790688e-08,-0.30429657850628844,-0.14894834532825132
M3_transpiled_depth_graph_alignment,log_transpiled_depth,z_weighted_mean_topology_distance,0.11131144997429394,0.041204565808227685,2.701434848078593,0.006904100552155377,0.030551984991557132,0.19207091495703077
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,Intercept,3.5006905939485002,0.24033835922289018,14.565675680185343,4.643703261088325e-48,3.0296360657681856,3.971745122128815
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,C(family)[T.maxcut],0.9443497407227066,0.25836782732640473,3.6550593411527124,0.00025712249758266207,0.4379581043990898,1.4507413770463233
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,C(family)[T.scheduling_toy],1.5200196585630548,0.23683271847164006,6.418115150525844,1.3797188207132404e-10,1.0558360599979262,1.9842032571281834
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,C(topology)[T.grid_2d],-0.07673625728649691,0.1429810227565715,-0.5366884066645834,0.5914828654694734,-0.356973912362079,0.20350139778908516
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,C(topology)[T.heavy_hex_like],-0.07826471231779619,0.13791215315457686,-0.567496848737285,0.570376666977655,-0.3485675655311388,0.19203814089554644
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,C(topology)[T.line],-0.11700825499660583,0.14371837654137418,-0.8141495737180211,0.4155592692760387,-0.3986910969342654,0.16467458694105375
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,z_n_edges,-0.32813206930879085,0.17747357293848734,-1.8489066505835323,0.0644712932163734,-0.6759738804758684,0.019709741858286722
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,z_density,-0.0770613945286257,0.06643818526333284,-1.1598961383907005,0.24609109515403127,-0.20727784484295783,0.05315505578570642
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,z_max_degree,1.823218806600278,0.1709199435054231,10.667092260900667,1.450960490097349e-26,1.4882218730900278,2.1582157401105277
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,z_weighted_degree_mean,-0.5521040899138399,0.15487039023229196,-3.5649428472785036,0.00036393548394031194,-0.8556444770407958,-0.24856370278688383
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,z_coefficient_entropy,0.5428771347602376,0.07419912160308131,7.316490047743277,2.545408915203082e-13,0.3974495287336903,0.6883047407867848
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,z_topology_alignment_ratio,-0.08981521760478461,0.08828956208498456,-1.0172801346362044,0.3090201840812782,-0.26285957950216743,0.0832291442925982
M4_transpiled_2q_graph_alignment,log_transpiled_2q_count,z_weighted_mean_topology_distance,0.24943986119470635,0.06205956058223398,4.01936234891928,5.835586390644048e-05,0.12780535755714617,0.3710743648322665
M5_swap_all_topologies,log_swap_count,Intercept,2.296482872295803,0.2109663872001214,10.885539174149926,1.3509678344375222e-27,1.882996351435033,2.7099693931565727
M5_swap_all_topologies,log_swap_count,C(family)[T.maxcut],-0.5467565180836855,0.3026007969669953,-1.806857495300385,0.07078450131399344,-1.1398431818321135,0.04633014566474247
