instance_name,family,n_variables,n_edges,density,avg_degree,max_degree,degree_std,weighted_degree_mean,weighted_degree_max,weighted_degree_std,quadratic_coeff_min,quadratic_coeff_max,quadratic_coeff_abs_mean,quadratic_coeff_abs_max,quadratic_coeff_range,coefficient_entropy,coefficient_concentration,connected_components,largest_component_size,community_count,modularity,seed,constant,edge_probability,n_items,n_bins,n_operations,n_machines,conflict_probability,n_conflict_pairs,qubo_json
maxcut_n16_p0.30_seed202,maxcut,16,34,0.2833333333333333,4.25,8.0,1.75,40.25,96.0,22.41511766643218,2.0,20.0,9.470588235294118,20.0,18.0,0.9413184004340724,0.062111801242236024,1,16,4,0.29742293892982524,202,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n16_p0.30_seed202.json
maxcut_n16_p0.60_seed202,maxcut,16,75,0.625,9.375,12.0,1.3169567191065923,95.0,136.0,23.53720459187964,2.0,20.0,10.133333333333333,20.0,18.0,0.9652550217612802,0.02631578947368421,1,16,3,0.15740997229916898,202,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n16_p0.60_seed202.json
maxcut_n24_p0.30_seed202,maxcut,24,73,0.2644927536231884,6.083333333333333,10.0,1.9561157657175838,65.33333333333333,142.0,26.60618140374317,2.0,20.0,10.73972602739726,20.0,18.0,0.960081865759936,0.025510204081632654,1,24,5,0.29650731466055813,202,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n24_p0.30_seed202.json
maxcut_n24_p0.60_seed202,maxcut,24,161,0.5833333333333334,13.416666666666666,18.0,2.158638974498103,143.66666666666666,216.0,33.424874303760994,2.0,20.0,10.70807453416149,20.0,18.0,0.9709828896570082,0.01160092807424594,1,24,4,0.13888410376774457,202,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n24_p0.60_seed202.json
maxcut_n32_p0.30_seed202,maxcut,32,141,0.2842741935483871,8.8125,14.0,2.4929588343973914,98.5,162.0,29.748949561287034,2.0,20.0,11.177304964539006,20.0,18.0,0.9704655931201479,0.012690355329949238,1,32,5,0.24203309799273365,202,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n32_p0.30_seed202.json
maxcut_n32_p0.60_seed202,maxcut,32,297,0.5987903225806451,18.5625,25.0,2.5852647349933044,200.375,288.0,38.90513301609442,2.0,20.0,10.794612794612794,20.0,18.0,0.9735780417819869,0.006238303181534623,1,32,3,0.12578197694668725,202,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n32_p0.60_seed202.json
maxcut_n8_p0.30_seed303,maxcut,8,12,0.42857142857142855,3.0,4.0,1.118033988749895,40.5,62.0,19.665960439297137,2.0,20.0,13.5,20.0,18.0,0.9655772918555124,0.12345679012345678,1,8,2,0.13961286389269928,303,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n8_p0.30_seed303.json
maxcut_n8_p0.60_seed303,maxcut,8,20,0.7142857142857143,5.0,6.0,0.8660254037844386,48.5,68.0,14.168627315304754,2.0,20.0,9.7,20.0,18.0,0.9367724568935056,0.10309278350515463,1,8,2,0.1283877138909554,303,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n8_p0.60_seed303.json
maxcut_n12_p0.30_seed303,maxcut,12,23,0.3484848484848485,3.8333333333333335,6.0,1.5723301886761005,46.666666666666664,90.0,22.808380526074668,2.0,20.0,12.173913043478262,20.0,18.0,0.9619004749669562,0.07142857142857142,1,12,3,0.23313775510204082,303,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n12_p0.30_seed303.json
maxcut_n12_p0.60_seed303,maxcut,12,43,0.6515151515151515,7.166666666666667,10.0,1.404358295529393,69.33333333333333,92.0,11.61416759345623,2.0,20.0,9.674418604651162,20.0,18.0,0.9415738088833913,0.04807692307692308,1,12,3,0.1614737426035503,303,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n12_p0.60_seed303.json
maxcut_n16_p0.30_seed303,maxcut,16,35,0.2916666666666667,4.375,7.0,1.653594569415369,54.25,104.0,23.3760026522928,2.0,20.0,12.4,20.0,18.0,0.973543980041449,0.04608294930875576,1,16,3,0.324279555734885,303,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n16_p0.30_seed303.json
maxcut_n16_p0.60_seed303,maxcut,16,73,0.6083333333333333,9.125,13.0,1.6909686573085854,93.25,162.0,26.228562675068567,2.0,20.0,10.219178082191782,20.0,18.0,0.9581155640709561,0.02680965147453083,1,16,4,0.11340195070761666,303,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n16_p0.60_seed303.json
maxcut_n24_p0.30_seed303,maxcut,24,83,0.3007246376811594,6.916666666666667,12.0,1.8911342863183696,82.66666666666667,162.0,27.402351886086144,2.0,20.0,11.951807228915662,20.0,18.0,0.9730414519810701,0.020161290322580645,1,24,5,0.26902112057752336,303,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n24_p0.30_seed303.json
maxcut_n24_p0.60_seed303,maxcut,24,170,0.6159420289855072,14.166666666666666,18.0,1.8856180831641267,150.0,188.0,24.317346346452638,2.0,20.0,10.588235294117647,20.0,18.0,0.9711740241380685,0.011111111111111112,1,24,3,0.12602716049382717,303,0.0,0.6,,,,,,,data/instances_rq1_extended/maxcut_n24_p0.60_seed303.json
maxcut_n32_p0.30_seed303,maxcut,32,148,0.29838709677419356,9.25,14.0,2.5248762345905194,107.0,176.0,31.0201547384922,2.0,20.0,11.567567567567568,20.0,18.0,0.9748162795606377,0.011682242990654205,1,32,5,0.2201379487291466,303,0.0,0.3,,,,,,,data/instances_rq1_extended/maxcut_n32_p0.30_seed303.json
